BLDGSUIT,BLDGID,BLDGNAME,SUITID,OCCPNAME,SUITSQFT,SUITETYPE_MRI,RANK,SQFTTYPE,UPDATED_SUITE_TYPE
HSV001372,HSV001,Hillside Village,372,Lash Lounge,1457,INLN,1,GLA,RET
DMN001ANT-1,DMN001,Domain Northside Retail,ANT-1,Verizon Wireless,0,,1,GLA,ANT
PWP001105B,PWP001,Prestonwood Place,105B,Mendocino Farms Sandwich Market,0,RETL,1,GLA,RET
DMN001D1.138,DMN001,Domain Northside Retail,D1.138,One Medical,2003,RETL,1,GLA,RET
DMN001D1.134,DMN001,Domain Northside Retail,D1.134,One Medical,2004,RETL,1,GLA,RET
DMN001ANT-2,DMN001,Domain Northside Retail,ANT-2,AT&T Wireless,0,,1,GLA,ANT
DMN001X4.156,DMN001,Domain Northside Retail,X4.156,Picole',1017,RETL,1,GLA,RET
DMN001W2.146,DMN001,Domain Northside Retail,W2.146,Purple,3064,RETL,1,GLA,RET
WAVE01D209,WAVE01,Waverly Place,D209,Capriotti's,1806,RETL,1,GLA,RET
CV00010900,CV0001,100 Broadway,900,"Thinx, Inc.",17625,OFF,1,RSF,OFF
NW1507P-LOT 3,NW1507,NW Northgate II LLC,P-LOT 3,Trosa Inc,0,PRKG,1,GLA,PRK
NW1012210,NW1012,NW BALLANTYNE TWO LP,210,Clear Income Strategies Group LLC,2082,,1,RSF,OFF
DMN001Z3.142,DMN001,Domain Northside Retail,Z3.142,Barkin’ Creek Dog Kitchen & Bath,1685,RETL,1,GLA,RET
BLK001C3-D,BLK001,Blakeney Retail,C3-D,Couture Lash Lounge,800,,1,GLA,RET
DMN001Z3.136,DMN001,Domain Northside Retail,Z3.136,"Hawkins Bucklew Jewelry Designs, Inc.",1551,RETL,1,GLA,RET
NW1003350,NW1003,NW BRIXHAM GREEN THREE LP,350,THE PROCTER & GAMBLE DIST. CO.,9781,,1,RSF,OFF
DMN001Z3.132,DMN001,Domain Northside Retail,Z3.132,Barkin Creek Dog Kitchen Temp,1550,RETL,1,GLA,RET
DMN001Z2.176,DMN001,Domain Northside Retail,Z2.176,Frost Gelato,1359,RETL,1,GLA,RET
NW0021C100,NW0021,NW OFFICES ON SIX LP,C100,"Charlotte Adjusting, Inc.",700,,1,RSF,OFF
WAVE01B105,WAVE01,Waverly Place,B105,Onyx Hair Boutique,1407,RETL,1,GLA,RET
DMN001Z3.126,DMN001,Domain Northside Retail,Z3.126,Roller Rabbit,1550,INLN,1,GLA,RET
NRG001R-237,NRG001,NW Northgate Mall LLC,R-237,Lakhani Jewelry,0,RETL,1,GLA,RET
WAVE01C109,WAVE01,Waverly Place,C109,CONTENDER eSPORTS,2441,RETL,1,GLA,RET
WAVE01D202,WAVE01,Waverly Place,D202,Chicken Salad Chick,3119,INLN,1,GLA,RET
DMN001W2.154,DMN001,Domain Northside Retail,W2.154,CustomInk,1080,RETL,1,GLA,RET
DMN001Common-1,DMN001,Domain Northside Retail,Common-1,Krewe,0,OTHR,1,GLA,
CRS001F6-A,CRS001,Blakeney Crossing,F6-A,JP Morgan Chase,4000,,1,GLA,RET
BLK001FIBER,BLK001,Blakeney Retail,FIBER,Segra,0,,1,GLA,ANT
DMN001W4.128,DMN001,Domain Northside Retail,W4.128,"SandboxVR, Inc.",5144,RETL,1,GLA,RET
PKLN05PKROOF,PKLN05,Park Lane - Blk B2/C/DF Retail,PKROOF,Camp Gladiator,0,,1,GLA,PRK
NW0072125,NW0072,NW HAYES BUILDING LP,125,Nestle Purina Petcare Company,3102,,1,RSF,OFF
